HomeID,Date,Appliance,Room,Watts,HoursPerDay,SmartDevice
101,2025-07-01,Laptop,Office,66,5.1,True
101,2025-07-01,Dryer,Laundry,2900,1.0,False
101,2025-07-01,Microwave,Kitchen,1140,0.7,False
101,2025-07-01,Refrigerator,Kitchen,157,24.0,True
101,2025-07-01,Television,Living Room,229,2.8,True
101,2025-07-02,Television,Living Room,184,3.6,True
101,2025-07-02,Washing Machine,Laundry,472,1.7,False
101,2025-07-02,Desk Lamp,Office,54,7.8,True
101,2025-07-02,Dryer,Laundry,3043,1.3,False
101,2025-07-02,Microwave,Kitchen,1068,0.4,False
101,2025-07-02,Laptop,Office,72,7.5,True
101,2025-07-02,Air Conditioner,Bedroom,1425,9.1,False
101,2025-07-02,Refrigerator,Kitchen,140,24.0,False
101,2025-07-03,Laptop,Office,79,7.8,True
101,2025-07-03,Washing Machine,Laundry,464,2.0,False
101,2025-07-03,Heater,Garage,1813,2.7,True
101,2025-07-03,Television,Living Room,237,2.0,False
101,2025-07-03,Ceiling Fan,Bedroom,77,9.6,True
101,2025-07-04,Ceiling Fan,Bedroom,74,11.0,True
101,2025-07-04,Desk Lamp,Office,32,6.0,True
101,2025-07-04,Washing Machine,Laundry,494,1.7,False
101,2025-07-04,Laptop,Office,72,6.7,True
101,2025-07-04,Television,Living Room,186,4.5,True
101,2025-07-04,Microwave,Kitchen,1271,0.6,False
101,2025-07-04,Dryer,Laundry,3057,1.0,True
101,2025-07-05,Desk Lamp,Office,44,7.0,True
101,2025-07-05,Television,Living Room,201,4.0,True
101,2025-07-05,Washing Machine,Laundry,547,1.0,False
101,2025-07-05,Ceiling Fan,Bedroom,79,10.5,True
101,2025-07-05,Laptop,Office,63,7.1,True
101,2025-07-05,Refrigerator,Kitchen,141,24.0,True
101,2025-07-06,Desk Lamp,Office,56,3.5,True
101,2025-07-06,Television,Living Room,180,4.4,True
101,2025-07-06,Air Conditioner,Bedroom,1572,5.8,True
101,2025-07-06,Ceiling Fan,Bedroom,76,6.5,True
101,2025-07-06,Refrigerator,Kitchen,140,24.0,True
101,2025-07-06,Microwave,Kitchen,1223,0.7,False
101,2025-07-06,Heater,Garage,1871,3.5,False
101,2025-07-06,Laptop,Office,78,3.7,False
101,2025-07-07,Refrigerator,Kitchen,155,24.0,True
