type,amount,targetAccount,sourceAccount
deposit,176.56,A1006,null
deposit,463.36,A1010,null
withdraw,32.52,A1005,null
deposit,265.57,A1006,null
deposit,158.97,A1003,null
withdraw,46.61,A1003,null
transfer,86.92,A1006,A1003
withdraw,139.83,A1010,null
withdraw,414.56,A1005,null
withdraw,60.97,A1004,null
deposit,450.97,A1008,null
deposit,185.68,A1003,null
deposit,384.66,A1001,null
deposit,252.32,A1001,null
deposit,248.77,A1003,null
withdraw,400.31,A1009,null
withdraw,381.42,A1008,null
transfer,377.58,A1003,A1005
transfer,379.57,A1003,A1009
deposit,116.81,A1009,null
withdraw,156.22,A1001,null
transfer,153.34,A1003,A1001
deposit,463.45,A1002,null
deposit,251.62,A1002,null
withdraw,274.41,A1004,null
transfer,213.33,A1006,A1007
transfer,81.72,A1008,A1006
withdraw,458.02,A1008,null
transfer,329.19,A1001,A1007
withdraw,424.96,A1007,null
